point_id,rot_x,rot_y,rot_z,lod_level,mean_gpu_ms,mean_cpu_ms,mean_fps,triangle_count,visible_renderer_count,screen_coverage,draw_call_count
2,15,180,0,0,2.913758,2.03278,343.1994,137983,0,0.223856,489
2,15,180,0,1,2.927206,5.465206,182.9757,103089,0,0.223856,417
2,15,180,0,2,2.915806,5.352513,186.8281,92647,0,0.223856,385
2,15,180,0,3,2.814225,5.295746,188.8308,82422,0,0.223856,376
2,15,225,0,0,2.812723,2.076493,355.5273,96699,0,0.238874,381
2,15,225,0,1,2.865289,5.433006,184.0602,78122,0,0.238874,307
2,15,225,0,2,2.899422,5.344841,187.0963,77565,0,0.238874,299
2,15,225,0,3,2.917786,5.204226,192.1515,77447,0,0.238874,297
2,15,270,0,0,3.57574,2.099533,279.6624,381840,0,0.667415,663
2,15,270,0,1,3.561062,5.451334,183.4414,258798,0,0.667415,561
2,15,270,0,2,3.494912,5.35934,186.5901,180473,0,0.667415,555
2,15,270,0,3,3.318101,5.256181,190.2522,111160,0,0.667415,498
2,15,315,0,0,4.749107,2.615513,210.5659,846251,0,1.000000,2472
2,15,315,0,1,4.357461,5.948621,168.1062,501023,0,1.000000,2154
2,15,315,0,2,4.200858,5.873847,170.2462,322669,0,1.000000,2040
2,15,315,0,3,3.55328,5.63582,177.4365,175434,0,1.000000,1571
3,-15,0,0,0,5.104913,4.455266,195.8897,1165829,0,1.000000,4471
3,-15,0,0,1,4.777301,7.671814,130.3473,619334,0,1.000000,3963
3,-15,0,0,2,4.461432,7.566234,132.1662,397504,0,1.000000,4036
3,-15,0,0,3,3.479825,6.550061,152.6703,213013,0,1.000000,2179
3,-15,45,0,0,7.146902,9.207608,108.6058,2829412,0,1.000000,10716
3,-15,45,0,1,6.665557,10.63957,93.98878,1371452,0,1.000000,9834
3,-15,45,0,2,6.169381,10.64605,93.93155,825685,0,1.000000,9252
3,-15,45,0,3,4.358281,7.567487,132.1443,405798,0,1.000000,3852
3,-15,90,0,0,6.386193,8.318373,120.2158,2158682,0,1.000000,7836
3,-15,90,0,1,5.761194,9.550367,104.708,1033163,0,1.000000,7274
3,-15,90,0,2,5.288055,9.675241,103.3566,618291,0,1.000000,6682
3,-15,90,0,3,3.881779,7.211199,138.6732,294587,0,1.000000,2568
3,-15,135,0,0,3.258436,2.770947,306.8957,354328,0,1.000000,1414
3,-15,135,0,1,3.104904,5.949768,168.0738,196417,0,1.000000,1254
3,-15,135,0,2,3.047151,5.92912,168.6591,143756,0,1.000000,1233
3,-15,135,0,3,2.715921,5.567007,179.6297,97856,0,1.000000,750
3,-15,180,0,0,2.636732,1.943,379.2574,75575,0,0.292476,408
3,-15,180,0,1,2.698581,5.339087,187.2979,58105,0,0.292476,364
3,-15,180,0,2,2.803781,5.428287,184.2202,56726,0,0.292476,333
3,-15,180,0,3,2.764049,5.628114,177.6794,56735,0,0.292476,329
3,-15,225,0,0,2.817365,1.868053,354.9416,57107,0,0.104311,268
3,-15,225,0,1,2.91881,5.30774,188.4041,54937,0,0.104311,264
3,-15,225,0,2,3.028446,5.358107,186.6331,54044,0,0.104311,257
3,-15,225,0,3,2.995541,5.299346,188.7025,53742,0,0.104311,251
3,-15,270,0,0,3.084629,1.829047,324.188,52307,0,0.022188,211
3,-15,270,0,1,3.19645,5.21552,191.7354,50819,0,0.022188,206
3,-15,270,0,2,3.147162,5.312706,188.228,51340,0,0.022188,204
3,-15,270,0,3,3.154261,5.195266,192.4829,51436,0,0.022188,210
3,-15,315,0,0,4.184405,2.298973,238.9826,305407,0,0.899589,865
3,-15,315,0,1,3.840614,5.616732,178.0395,191747,0,0.899589,803
3,-15,315,0,2,3.712614,5.711254,175.0929,129587,0,0.899589,761
3,-15,315,0,3,3.323768,5.440567,183.8044,74760,0,0.899589,484
3,0,0,0,0,6.162364,4.777533,162.2754,1504861,0,1.000000,5168
3,0,0,0,1,5.343505,7.86532,127.1404,795865,0,1.000000,4530
3,0,0,0,2,4.880316,7.699966,129.8707,504928,0,1.000000,4728
3,0,0,0,3,3.808597,6.5793,151.9918,252136,0,1.000000,2547
3,0,45,0,0,7.659557,9.098222,109.9116,2935965,0,1.000000,11196
3,0,45,0,1,7.104805,11.14992,89.68674,1401302,0,1.000000,10016
3,0,45,0,2,6.686447,10.7612,92.92644,854188,0,1.000000,9676
3,0,45,0,3,4.493653,7.594127,131.6807,418494,0,1.000000,4071
3,0,90,0,0,6.722121,8.695128,115.0069,2271490,0,1.000000,8264
3,0,90,0,1,6.147738,9.77176,102.3357,1067357,0,1.000000,7406
3,0,90,0,2,5.509444,9.429614,106.0489,652389,0,1.000000,6878
3,0,90,0,3,4.005069,7.352165,136.0144,321999,0,1.000000,2779
3,0,135,0,0,3.699166,3.006146,270.3312,384897,0,1.000000,1605
3,0,135,0,1,3.523652,5.955493,167.9122,205933,0,1.000000,1405
3,0,135,0,2,3.386846,6.0959,164.0447,153009,0,1.000000,1378
3,0,135,0,3,2.944478,5.621773,177.8798,105949,0,1.000000,806
3,0,180,0,0,2.640281,2.000053,378.7475,92383,0,0.231404,443
3,0,180,0,1,2.8302,5.338373,187.323,76842,0,0.231404,385
3,0,180,0,2,2.895667,5.57506,179.3703,71924,0,0.231404,354
3,0,180,0,3,2.863104,5.253354,190.3546,68573,0,0.231404,350
3,0,225,0,0,2.899354,1.85178,344.9045,70912,0,0.206743,308
3,0,225,0,1,2.979294,5.31492,188.1496,61362,0,0.206743,275
3,0,225,0,2,3.011447,5.351713,186.8561,60595,0,0.206743,265
3,0,225,0,3,3.043738,5.219927,191.5736,59881,0,0.206743,260
3,0,270,0,0,3.250381,1.93142,307.6563,119339,0,0.081802,274
3,0,270,0,1,3.302468,5.405235,185.0058,86854,0,0.081802,236
3,0,270,0,2,3.366229,5.158987,193.8365,74768,0,0.081802,236
3,0,270,0,3,3.36111,5.235474,191.0047,63879,0,0.081802,234
3,0,315,0,0,4.696474,2.445853,212.9257,528297,0,1.000000,1403
3,0,315,0,1,4.208708,5.744313,174.0852,321689,0,1.000000,1297
3,0,315,0,2,4.107196,5.791426,172.6691,203550,0,1.000000,1170
3,0,315,0,3,3.45402,5.564713,179.7038,103333,0,1.000000,837
3,15,0,0,0,5.952034,4.926627,168.0098,1829906,0,1.000000,5940
3,15,0,0,1,5.440444,7.790346,128.364,989682,0,1.000000,5195
3,15,0,0,2,5.26377,7.776227,128.5971,608149,0,1.000000,5211
3,15,0,0,3,3.874338,6.794806,147.1712,305550,0,1.000000,3039
3,15,45,0,0,7.917391,9.321993,107.2732,3065201,0,1.000000,11343
3,15,45,0,1,7.326242,11.00826,90.84088,1494856,0,1.000000,10512
3,15,45,0,2,6.827301,11.06237,90.39653,901971,0,1.000000,9883
3,15,45,0,3,4.486946,7.788727,128.3907,439660,0,1.000000,4276
