point_id,x,y,z,vol_min_x,vol_min_y,vol_min_z,vol_max_x,vol_max_y,vol_max_z
188,-20.67602,20.30815,41.64757,-28.86514,9.677906,33.45378,-12.4869,15.94729,49.84136
189,-20.67602,26.57753,41.64757,-28.86514,15.94729,33.45378,-12.4869,22.21667,49.84136
190,-20.67602,4.242002,58.03515,-28.86514,-9.130241,49.84136,-12.4869,-2.860859,66.22894
191,-20.67602,10.51138,58.03515,-28.86514,-2.860859,49.84136,-12.4869,3.408524,66.22894
192,-20.67602,16.78077,58.03515,-28.86514,3.408524,49.84136,-12.4869,9.677906,66.22894
193,-20.67602,23.05015,58.03515,-28.86514,9.677906,49.84136,-12.4869,15.94729,66.22894
194,-20.67602,29.31953,58.03515,-28.86514,15.94729,49.84136,-12.4869,22.21667,66.22894
195,-20.67602,5.290276,74.42274,-28.86514,-9.130241,66.22894,-12.4869,-2.860859,82.61653
196,-20.67602,11.55966,74.42274,-28.86514,-2.860859,66.22894,-12.4869,3.408524,82.61653
197,-20.67602,17.82904,74.42274,-28.86514,3.408524,66.22894,-12.4869,9.677906,82.61653
198,-20.67602,24.09842,74.42274,-28.86514,9.677906,66.22894,-12.4869,15.94729,82.61653
199,-20.67602,30.36781,74.42274,-28.86514,15.94729,66.22894,-12.4869,22.21667,82.61653
200,-4.29778,1.500003,-73.06552,-12.4869,-9.130241,-81.25932,3.89134,-2.860859,-64.87173
201,-4.29778,7.769385,-73.06552,-12.4869,-2.860859,-81.25932,3.89134,3.408524,-64.87173
202,-4.29778,14.03877,-73.06552,-12.4869,3.408524,-81.25932,3.89134,9.677906,-64.87173
203,-4.29778,20.30815,-73.06552,-12.4869,9.677906,-81.25932,3.89134,15.94729,-64.87173
204,-4.29778,26.57753,-73.06552,-12.4869,15.94729,-81.25932,3.89134,22.21667,-64.87173
205,-4.29778,1.500002,-56.67794,-12.4869,-9.130241,-64.87173,3.89134,-2.860859,-48.48415
206,-4.29778,7.769384,-56.67794,-12.4869,-2.860859,-64.87173,3.89134,3.408524,-48.48415
207,-4.29778,14.03877,-56.67794,-12.4869,3.408524,-64.87173,3.89134,9.677906,-48.48415
208,-4.29778,20.30815,-56.67794,-12.4869,9.677906,-64.87173,3.89134,15.94729,-48.48415
209,-4.29778,26.57753,-56.67794,-12.4869,15.94729,-64.87173,3.89134,22.21667,-48.48415
210,-4.29778,2.521675,-40.29035,-12.4869,-9.130241,-48.48415,3.89134,-2.860859,-32.09656
211,-4.29778,8.791058,-40.29035,-12.4869,-2.860859,-48.48415,3.89134,3.408524,-32.09656
212,-4.29778,15.06044,-40.29035,-12.4869,3.408524,-48.48415,3.89134,9.677906,-32.09656
213,-4.29778,21.32982,-40.29035,-12.4869,9.677906,-48.48415,3.89134,15.94729,-32.09656
214,-4.29778,27.59921,-40.29035,-12.4869,15.94729,-48.48415,3.89134,22.21667,-32.09656
215,-4.29778,2.520101,-23.90277,-12.4869,-9.130241,-32.09656,3.89134,-2.860859,-15.70898
216,-4.29778,8.789484,-23.90277,-12.4869,-2.860859,-32.09656,3.89134,3.408524,-15.70898
217,-4.29778,15.05887,-23.90277,-12.4869,3.408524,-32.09656,3.89134,9.677906,-15.70898
218,-4.29778,21.32825,-23.90277,-12.4869,9.677906,-32.09656,3.89134,15.94729,-15.70898
219,-4.29778,27.59763,-23.90277,-12.4869,15.94729,-32.09656,3.89134,22.21667,-15.70898
220,-4.29778,1.656936,-7.515184,-12.4869,-9.130241,-15.70898,3.89134,-2.860859,0.6786079
221,-4.29778,7.926319,-7.515184,-12.4869,-2.860859,-15.70898,3.89134,3.408524,0.6786079
222,-4.29778,14.1957,-7.515184,-12.4869,3.408524,-15.70898,3.89134,9.677906,0.6786079
223,-4.29778,20.46508,-7.515184,-12.4869,9.677906,-15.70898,3.89134,15.94729,0.6786079
224,-4.29778,26.73447,-7.515184,-12.4869,15.94729,-15.70898,3.89134,22.21667,0.6786079
225,-4.29778,2.165691,8.8724,-12.4869,-9.130241,0.6786079,3.89134,-2.860859,17.06619
226,-4.29778,8.435074,8.8724,-12.4869,-2.860859,0.6786079,3.89134,3.408524,17.06619
227,-4.29778,14.70446,8.8724,-12.4869,3.408524,0.6786079,3.89134,9.677906,17.06619
228,-4.29778,20.97384,8.8724,-12.4869,9.677906,0.6786079,3.89134,15.94729,17.06619
229,-4.29778,27.24322,8.8724,-12.4869,15.94729,0.6786079,3.89134,22.21667,17.06619
230,-4.29778,2.34049,25.25998,-12.4869,-9.130241,17.06619,3.89134,-2.860859,33.45378
231,-4.29778,8.609873,25.25998,-12.4869,-2.860859,17.06619,3.89134,3.408524,33.45378
232,-4.29778,14.87926,25.25998,-12.4869,3.408524,17.06619,3.89134,9.677906,33.45378
233,-4.29778,21.14864,25.25998,-12.4869,9.677906,17.06619,3.89134,15.94729,33.45378
234,-4.29778,27.41802,25.25998,-12.4869,15.94729,17.06619,3.89134,22.21667,33.45378
235,-4.29778,1.499998,41.64757,-12.4869,-9.130241,33.45378,3.89134,-2.860859,49.84136
236,-4.29778,7.76938,41.64757,-12.4869,-2.860859,33.45378,3.89134,3.408524,49.84136
237,-4.29778,14.03876,41.64757,-12.4869,3.408524,33.45378,3.89134,9.677906,49.84136
238,-4.29778,20.30815,41.64757,-12.4869,9.677906,33.45378,3.89134,15.94729,49.84136
239,-4.29778,26.57753,41.64757,-12.4869,15.94729,33.45378,3.89134,22.21667,49.84136
240,-4.29778,1.877536,58.03515,-12.4869,-9.130241,49.84136,3.89134,-2.860859,66.22894
241,-4.29778,8.146919,58.03515,-12.4869,-2.860859,49.84136,3.89134,3.408524,66.22894
242,-4.29778,14.4163,58.03515,-12.4869,3.408524,49.84136,3.89134,9.677906,66.22894
243,-4.29778,20.68568,58.03515,-12.4869,9.677906,49.84136,3.89134,15.94729,66.22894
244,-4.29778,26.95507,58.03515,-12.4869,15.94729,49.84136,3.89134,22.21667,66.22894
245,-4.29778,4.11008,74.42274,-12.4869,-9.130241,66.22894,3.89134,-2.860859,82.61653
246,-4.29778,10.37946,74.42274,-12.4869,-2.860859,66.22894,3.89134,3.408524,82.61653
247,-4.29778,16.64885,74.42274,-12.4869,3.408524,66.22894,3.89134,9.677906,82.61653
248,-4.29778,22.91823,74.42274,-12.4869,9.677906,66.22894,3.89134,15.94729,82.61653
249,-4.29778,29.18761,74.42274,-12.4869,15.94729,66.22894,3.89134,22.21667,82.61653
