point_id,rot_x,rot_y,rot_z,lod_level,mean_gpu_ms,mean_cpu_ms,mean_fps
0,0,270,0,3,2.208222,1.538997,452.853
0,0,270,30,0,2.236928,1.524277,447.0417
0,0,270,30,1,2.189278,1.520403,456.7717
0,0,270,30,2,2.234197,1.51407,447.5881
0,0,270,30,3,2.192828,1.500637,456.0321
0,60,0,-30,0,2.057489,1.681193,486.0294
0,60,0,-30,1,2.050731,1.659967,487.6311
0,60,0,-30,2,2.059298,1.62648,485.6024
0,60,0,-30,3,2.046635,1.66515,488.607
0,60,0,0,0,1.988949,1.638147,502.778
0,60,0,0,1,2.031206,1.630753,492.3183
0,60,0,0,2,2.032879,1.597933,491.9132
0,60,0,0,3,1.97434,1.652567,506.4983
0,60,0,30,0,2.060425,1.699237,485.3369
0,60,0,30,1,2.063326,1.60957,484.6545
0,60,0,30,2,2.059366,1.632847,485.5862
0,60,0,30,3,2.059503,1.603814,485.554
0,60,90,-30,0,2.080631,1.67892,480.6233
0,60,90,-30,1,2.081758,1.543353,480.3632
0,60,90,-30,2,2.132616,1.509274,468.9076
0,60,90,-30,3,2.042505,1.682613,489.5949
0,60,90,0,0,2.00349,1.829167,499.129
0,60,90,0,1,2.013867,1.850697,496.5572
0,60,90,0,2,2.003251,1.89513,499.1885
0,60,90,0,3,1.997824,1.881003,500.5446
0,60,90,30,0,2.07005,1.67543,483.0801
0,60,90,30,1,2.06988,1.599397,483.1198
0,60,90,30,2,2.055202,1.570323,486.5702
0,60,90,30,3,2.046532,1.535497,488.6315
0,60,180,-30,0,2.093739,1.724697,477.6144
0,60,180,-30,1,2.132992,1.642603,468.8251
0,60,180,-30,2,2.093158,1.633293,477.747
0,60,180,-30,3,2.061073,1.595707,485.1841
0,60,180,0,0,2.120158,1.631893,471.663
0,60,180,0,1,2.060971,1.613866,485.2083
0,60,180,0,2,2.127736,1.584737,469.9832
0,60,180,0,3,2.107836,1.630867,474.4203
0,60,180,30,0,2.112375,1.642663,473.4007
0,60,180,30,1,2.097732,1.636047,476.7053
0,60,180,30,2,2.129476,1.585087,469.599
0,60,180,30,3,2.066022,1.595657,484.0219
0,60,270,-30,0,2.169583,1.552286,460.9181
0,60,270,-30,1,2.080324,1.557814,480.6942
0,60,270,-30,2,2.146645,1.58136,465.8431
0,60,270,-30,3,2.135654,1.48898,468.2405
0,60,270,0,0,2.122718,1.693447,471.0942
0,60,270,0,1,2.142208,1.59483,466.808
0,60,270,0,2,2.140911,1.57192,467.0909
0,60,270,0,3,2.088073,1.53415,478.9106
0,60,270,30,0,2.198562,1.60691,454.8427
0,60,270,30,1,2.167842,1.56974,461.2882
0,60,270,30,2,2.176512,1.537833,459.4507
0,60,270,30,3,2.148523,1.60766,465.4361
1,-60,0,-30,0,1.773227,1.60383,563.9436
1,-60,0,-30,1,1.796984,1.630047,556.4881
1,-60,0,-30,2,1.810091,1.52509,552.4585
1,-60,0,-30,3,1.807838,1.516727,553.1469
1,-60,0,0,0,1.797803,1.543257,556.2346
1,-60,0,0,1,1.789235,1.543627,558.898
1,-60,0,0,2,1.795823,1.54294,556.8478
1,-60,0,0,3,1.777664,1.52247,562.536
1,-60,0,30,0,1.817361,1.527163,550.2484
1,-60,0,30,1,1.822208,1.565023,548.7847
1,-60,0,30,2,1.794287,1.554743,557.3245
1,-60,0,30,3,1.8265,1.542873,547.4951
1,-60,90,-30,0,1.834598,1.552843,545.0784
1,-60,90,-30,1,1.842176,1.51936,542.8363
1,-60,90,-30,2,1.851392,1.52979,540.1341
1,-60,90,-30,3,1.833941,1.507873,545.2737
1,-60,90,0,0,1.847978,1.527873,541.1318
1,-60,90,0,1,1.803128,1.50482,554.5919
1,-60,90,0,2,1.847501,1.492873,541.2719
1,-60,90,0,3,1.809067,1.548663,552.7712
1,-60,90,30,0,1.811592,1.57258,552.0005
1,-60,90,30,1,1.849754,1.53085,540.6125
1,-60,90,30,2,1.851051,1.56387,540.2336
1,-60,90,30,3,1.818385,1.532887,549.9385
1,-60,180,-30,0,1.827669,1.55578,547.1449
1,-60,180,-30,1,1.816747,1.538053,550.4344
1,-60,180,-30,2,1.815313,1.54721,550.8691
1,-60,180,-30,3,1.798827,1.632797,555.9179
1,-60,180,0,0,1.850948,1.520083,540.2636
1,-60,180,0,1,1.860028,1.505963,537.6265
1,-60,180,0,2,1.867947,1.506553,535.3472
1,-60,180,0,3,1.840776,1.529163,543.2491
